序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,中信证券(山东)有限责任公司青岛连云港路证券营业部,7056.99,1.7289607e-05,18474814.58,0.045263247516,-18467757.59,当日换手率达到20%的前5只股票,920088,科力股份
2,东方财富证券股份有限公司拉萨团结路第二证券营业部,3118828.08,0.007641120658,5178657.81,0.012687698122,-2059829.73,当日换手率达到20%的前5只股票,920088,科力股份
3,东方财富证券股份有限公司拉萨团结路第一证券营业部,3031355.13,0.007426812159,4929691.92,0.012077732341,-1898336.79,当日换手率达到20%的前5只股票,920088,科力股份
4,华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,0.0,0.0,4400139.2,0.010780329559,-4400139.2,当日换手率达到20%的前5只股票,920088,科力股份
5,财信证券股份有限公司温州车站大道证券营业部,786597.48,0.001927161774,3604250.59,0.008830404541,-2817653.11,当日换手率达到20%的前5只股票,920088,科力股份
6,中信证券(山东)有限责任公司青岛连云港路证券营业部,7056.99,1.7289607e-05,18474814.58,0.045263247516,-18467757.59,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
7,东方财富证券股份有限公司拉萨团结路第二证券营业部,3118828.08,0.007641120658,5178657.81,0.012687698122,-2059829.73,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
8,东方财富证券股份有限公司拉萨团结路第一证券营业部,3031355.13,0.007426812159,4929691.92,0.012077732341,-1898336.79,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
9,华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,0.0,0.0,4400139.2,0.010780329559,-4400139.2,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
10,财信证券股份有限公司温州车站大道证券营业部,786597.48,0.001927161774,3604250.59,0.008830404541,-2817653.11,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
1,国信证券股份有限公司深圳互联网分公司,8165015.55,0.020004266793,807181.04,0.001977591442,7357834.51,当日换手率达到20%的前5只股票,920088,科力股份
2,机构专用,8011296.36,0.019627655179,2208953.2,0.005411929576,5802343.16,当日换手率达到20%的前5只股票,920088,科力股份
3,国信证券股份有限公司深圳红岭中路证券营业部,7652189.96,0.018747845436,1328766.62,0.003255474752,6323423.34,当日换手率达到20%的前5只股票,920088,科力股份
4,国金证券股份有限公司深圳分公司,7327227.77,0.017951688918,1051178.9,0.002575385562,6276048.87,当日换手率达到20%的前5只股票,920088,科力股份
5,中信建投证券股份有限公司北京东城分公司,5761519.53,0.014115707815,1224205.34,0.002999299889,4537314.19,当日换手率达到20%的前5只股票,920088,科力股份
6,国信证券股份有限公司深圳互联网分公司,8165015.55,0.020004266793,807181.04,0.001977591442,7357834.51,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
7,机构专用,8011296.36,0.019627655179,2208953.2,0.005411929576,5802343.16,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
8,国信证券股份有限公司深圳红岭中路证券营业部,7652189.96,0.018747845436,1328766.62,0.003255474752,6323423.34,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
9,国金证券股份有限公司深圳分公司,7327227.77,0.017951688918,1051178.9,0.002575385562,6276048.87,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
10,中信建投证券股份有限公司北京东城分公司,5761519.53,0.014115707815,1224205.34,0.002999299889,4537314.19,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
1,中信证券(山东)有限责任公司青岛连云港路证券营业部,7056.99,1.7289607e-05,18474814.58,0.045263247516,-18467757.59,当日换手率达到20%的前5只股票,920088,科力股份
2,东方财富证券股份有限公司拉萨团结路第二证券营业部,3118828.08,0.007641120658,5178657.81,0.012687698122,-2059829.73,当日换手率达到20%的前5只股票,920088,科力股份
3,东方财富证券股份有限公司拉萨团结路第一证券营业部,3031355.13,0.007426812159,4929691.92,0.012077732341,-1898336.79,当日换手率达到20%的前5只股票,920088,科力股份
