序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
25,002421,达实智能,2026-06-05,1家机构买入，成功率49.29%,5.21,9.9156,58263420.16,579412152.96,521148732.8,1100560885.76,4003760010,1.455217595822,27.488183183087,38.897,10437595139.06,日涨幅偏离值达到7%的前5只证券,9.98080614,9.4049904,,
26,002421,达实智能,2026-06-05,1家机构买入，成功率49.29%,5.21,9.9156,58263420.16,579412152.96,521148732.8,1100560885.76,4003760010,1.455217595822,27.488183183087,38.897,10437595139.06,日换手率达到20%的前5只证券,9.98080614,9.4049904,,
31,002579,中京电子,2026-06-05,4家机构卖出，成功率36.65%,18.69,-9.3159,-106958700.66,346106708.33,453065408.99,799172117.32,3335940398,-3.206253346856,23.956426733497,29.9201,10903968298.86,日换手率达到20%的前5只证券,-10.00535045,-10.43338684,,
33,002585,双星新材,2026-06-05,1家机构买入，成功率61.09%,11.82,0.1695,102768806.39,434538969.5,331770163.11,766309132.61,3646255746,2.818474993224,21.016329791202,33.3914,10481464595.88,日换手率达到20%的前5只证券,-6.17597293,3.21489002,,
39,002655,共达电声,2026-06-05,4家机构买入，成功率21.98%,37.78,1.8603,38480077.03,384776371.0,346296293.97,731072664.97,1917658643,2.00661766214,38.12319088377,14.0552,13743717962.0,日振幅值达到15%的前5只证券,-6.14081525,-3.91741662,,
40,002681,奋达科技,2026-06-05,2家机构买入，成功率45.42%,5.17,5.5102,66134835.19,139821101.72,73686266.53,213507368.25,743077288,8.900128729274,28.732861533779,9.5547,8113099109.06,日振幅值达到15%的前5只证券,3.09477756,0.58027079,,
42,002735,王子新材,2026-06-05,3家机构买入，成功率47.38%,18.03,5.3154,122748045.36,281682344.36,158934299.0,440616643.36,1529621379,8.02473390116,28.805601791997,30.1553,5139619918.23,日换手率达到20%的前5只证券,3.10593455,0.0,,
43,002735,王子新材,2026-06-05,2家机构买入，成功率31.40%,18.03,5.3154,213526226.43,579114071.66,365587845.23,944701916.89,3639257169,5.867302488235,25.958646861705,30.1553,5139619918.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,3.10593455,0.0,,
47,002806,华锋股份,2026-06-05,3家机构卖出，成功率26.95%,19.78,-4.352,-78106754.46,113892241.24,191998995.7,305891236.94,1006242661,-7.762218547003,30.399350852011,28.9254,3443798581.3,日换手率达到20%的前5只证券,-2.67947422,-2.37613751,,
51,002896,中大力德,2026-06-05,1家机构买入，成功率58.52%,86.77,10.0025,287489646.47,439862721.17,152373074.7,592235795.87,2351434358,12.226139568468,25.186150481093,14.6117,17052272075.9,日振幅值达到15%的前5只证券,9.7153394,4.51769045,,
